note_combination,chord_label,raw_values_per_combination,weighted_modulations_per_region_in_note_combinations,weighted_sum_per_region_normalized_tension_value,raw_t_score_summed_only_modulations,raw_t_score_summed_using_weighted_normalized_value,raw_t_score_summed_using_weighted_modulations_no_norm,normed_values_only_modulations,normed_values_weighted_modulations_only,normed_values_normed_weighted_modulations,method,harmonics_considered
"G2,G3",8v,"[[0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.5499999999999999, 0.0, 0.0, 0.15]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],1.0499999999999998,0.0,0.0,0.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,D3",P5,"[[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.5499999999999999, 0.0, 0.0, 0.1, 0.15, 0.0, 0.3]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],1.3499999999999999,0.0,0.0,0.5,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,G2",U,"[[0.5499999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.44999999999999996, 0.0, 0.0, 0.4]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.0],1.65,0.0,0.0,1.0,0.0,0.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,C3",P4,"[[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.5499999999999999, 0.0, 0.15, 0.0, 0.0, 0.15, 0.1, 0.3, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",[0.07407407407407407],1.35,0.07407407407407407,0.1,0.5000000000000003,0.12500000000000003,0.125,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,D#3",m6,"[[0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.15, 0.0, 0.5499999999999999, 0.0, 0.1, 0.0, 0.15, 0.0, 0.3]]","[[0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0]]",[0.1259259259259259],1.3499999999999999,0.1259259259259259,0.16999999999999998,0.5,0.2125,0.2125,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,B2",M3,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.5499999999999999, 0.0, 0.15, 0.0, 0.15, 0.0, 0.1, 0.3, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0, 0.105, 0.0, 0.0, 0.0, 0.0]]",[0.12962962962962962],1.35,0.12962962962962962,0.175,0.5000000000000003,0.21875,0.21875,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,E3",M6,"[[0.0, 0.0, 0.0, 0.0, 0.1, 0.15, 0.0, 0.0, 0.0, 0.5499999999999999, 0.1, 0.0, 0.0, 0.15, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.1, 0.105, 0.0, 0.0, 0.0, 0.0, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0]]",[0.261904761904762],1.0499999999999998,0.261904761904762,0.275,0.0,0.34375000000000006,0.44196428571428586,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,A#2",m3,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.5499999999999999, 0.1, 0.0, 0.0, 0.15, 0.15, 0.0, 0.3, 0.1, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.38499999999999995, 0.0, 0.0, 0.0, 0.0, 0.105, 0.0, 0.0, 0.0, 0.0]]",[0.3629629629629629],1.35,0.3629629629629629,0.48999999999999994,0.5000000000000003,0.6124999999999999,0.6124999999999999,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,F#3",M7,"[[0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.5499999999999999, 0.0, 0.0, 0.0, 0.15]]","[[0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38499999999999995, 0.0, 0.0, 0.0, 0.0]]",[0.5095238095238095],1.0499999999999998,0.5095238095238095,0.5349999999999999,0.0,0.66875,0.8598214285714285,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,F3",m7,"[[0.0, 0.0, 0.0, 0.0, 0.15, 0.1, 0.0, 0.0, 0.0, 0.1, 0.5499999999999999, 0.0, 0.0, 0.15, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.15, 0.06999999999999999, 0.0, 0.0, 0.0, 0.0, 0.38499999999999995, 0.0, 0.0, 0.0, 0.0]]",[0.5761904761904763],1.0499999999999998,0.5761904761904763,0.605,0.0,0.7562500000000001,0.9723214285714288,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
"G2,A2",M2,"[[0.0, 0.0, 0.0, 0.0, 0.5499999999999999, 0.0, 0.1, 0.0, 0.0, 0.15, 0.15, 0.0, 0.3, 0.1, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.5499999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.105, 0.0, 0.0, 0.0, 0.0]]",[0.4851851851851851],1.35,0.4851851851851851,0.6549999999999999,0.5000000000000003,0.81875,0.8187499999999999,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,3
