,case,note_names,periods_considered,tension_score,chord_label,normalized_tension_score,threshold_exponent_applied
28,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A#2",32,2206835.351847959,m3,0.5387969843358665,10**-6
29,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",4,14714.100833915065,M2,0.25777164878007836,10**-6
30,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",5,14714.100833915065,M2,0.25777164878007836,10**-6
31,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",6,14714.100833915065,M2,0.25777164878007836,10**-6
32,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",7,23751.309406287153,M2,0.3872613546728729,10**-6
33,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",8,27801.698376339977,M2,0.3187515760354361,10**-6
34,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",9,74193.48597717658,M2,0.8506419380088761,10**-6
35,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",10,81575.67365390141,M2,0.2890063374141587,10**-6
36,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",11,81575.67365390141,M2,0.2890063374141587,10**-6
37,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",12,81575.67365390141,M2,0.26160113331798635,10**-6
38,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",13,81575.67365390141,M2,0.12988041585779797,10**-6
39,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",14,81575.67365390141,M2,0.12988041585779797,10**-6
40,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",15,81575.67365390141,M2,0.11339234602352732,10**-6
41,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",16,81575.67365390141,M2,0.11339234602352732,10**-6
42,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",17,81575.67365390141,M2,0.09857746133359038,10**-6
43,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",18,960740.8554656935,M2,1.0,10**-6
44,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",19,2287918.571309311,M2,1.0,10**-6
45,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",20,2287918.571309311,M2,1.0,10**-6
46,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",21,2287918.571309311,M2,1.0,10**-6
47,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",22,2287918.571309311,M2,1.0,10**-6
48,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",23,2287918.571309311,M2,1.0,10**-6
49,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",24,2287918.571309311,M2,1.0,10**-6
50,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",25,2287918.571309311,M2,1.0,10**-6
51,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",26,2287918.571309311,M2,1.0,10**-6
52,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",27,4095856.910869973,M2,1.0,10**-6
53,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",28,4095856.910869973,M2,1.0,10**-6
54,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",29,4095856.910869973,M2,1.0,10**-6
55,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",30,4095856.910869973,M2,1.0,10**-6
56,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",31,4095856.910869973,M2,1.0,10**-6
57,Smallest_delta_t_and_choose_top_3_t_sub,"G2,A2",32,4095856.910869973,M2,1.0,10**-6
58,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",4,9054.331486484682,M3,0.15861995117587668,10**-6
59,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",5,19390.722132695097,M3,0.33969988867143197,10**-6
60,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",6,19390.722132695097,M3,0.33969988867143197,10**-6
61,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",7,19390.722132695097,M3,0.3161626667709107,10**-6
62,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",8,19390.722132695097,M3,0.22231818921975746,10**-6
63,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",9,81310.22584452547,M3,0.9322366671597474,10**-6
64,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",10,282262.5772977425,M3,1.0,10**-6
65,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",11,282262.5772977425,M3,1.0,10**-6
66,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",12,282262.5772977425,M3,0.9051743835745046,10**-6
67,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",13,282262.5772977425,M3,0.449403348798105,10**-6
68,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",14,549910.2242799627,M3,0.875537588778719,10**-6
69,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",15,694712.7655767833,M3,0.9656691360645205,10**-6
70,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",16,694712.7655767833,M3,0.9656691360645205,10**-6
71,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",17,694712.7655767833,M3,0.8395029758154103,10**-6
72,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",18,694712.7655767833,M3,0.7231010960182804,10**-6
73,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",19,885002.8761192885,M3,0.3868157229095905,10**-6
74,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",20,885002.8761192885,M3,0.3868157229095905,10**-6
75,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",21,885002.8761192885,M3,0.3868157229095905,10**-6
76,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",22,885002.8761192885,M3,0.3868157229095905,10**-6
77,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",23,885002.8761192885,M3,0.3868157229095905,10**-6
78,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",24,1196253.9906277948,M3,0.5228568908128634,10**-6
79,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",25,1196253.9906277948,M3,0.5228568908128634,10**-6
80,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",26,1196253.9906277948,M3,0.5228568908128634,10**-6
81,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",27,1196253.9906277948,M3,0.2920643998702842,10**-6
82,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",28,1196253.9906277948,M3,0.2920643998702842,10**-6
83,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",29,2677075.7140222015,M3,0.6536057709724977,10**-6
84,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",30,2677075.7140222015,M3,0.6536057709724977,10**-6
85,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",31,2677075.7140222015,M3,0.6536057709724977,10**-6
86,Smallest_delta_t_and_choose_top_3_t_sub,"G2,B2",32,2677075.7140222015,M3,0.6536057709724977,10**-6
87,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",4,9546.833862232275,TT,0.16724794352536118,10**-6
88,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",5,9546.833862232275,TT,0.16724794352536118,10**-6
89,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",6,34640.674960618024,TT,0.6068589579644325,10**-6
90,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",7,61331.473227816234,TT,1.0,10**-6
91,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",8,61331.473227816234,TT,0.703176600483471,10**-6
92,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",9,61331.473227816234,TT,0.703176600483471,10**-6
93,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",10,128812.79605918359,TT,0.456358038293211,10**-6
94,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",11,128812.79605918359,TT,0.456358038293211,10**-6
95,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",12,128812.79605918359,TT,0.41308360600132743,10**-6
96,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",13,128812.79605918359,TT,0.20508883065990285,10**-6
97,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",14,467397.0725213066,TT,0.7441645705230577,10**-6
98,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",15,467397.0725213066,TT,0.649694304733271,10**-6
99,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",16,467397.0725213066,TT,0.649694304733271,10**-6
100,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",17,827528.6515834061,TT,1.0,10**-6
101,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",18,827528.6515834061,TT,0.8613442916219939,10**-6
102,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",19,827528.6515834061,TT,0.36169497549461954,10**-6
103,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",20,827528.6515834061,TT,0.36169497549461954,10**-6
104,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",21,827528.6515834061,TT,0.36169497549461954,10**-6
105,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",22,827528.6515834061,TT,0.36169497549461954,10**-6
106,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",23,827528.6515834061,TT,0.36169497549461954,10**-6
107,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",24,1738035.5275928243,TT,0.7596579482276749,10**-6
108,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",25,1738035.5275928243,TT,0.7596579482276749,10**-6
109,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",26,1738035.5275928243,TT,0.7596579482276749,10**-6
110,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",27,1738035.5275928243,TT,0.4243399038135979,10**-6
111,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",28,1738035.5275928243,TT,0.4243399038135979,10**-6
112,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",29,1738035.5275928243,TT,0.4243399038135979,10**-6
113,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",30,1738035.5275928243,TT,0.4243399038135979,10**-6
114,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",31,1738035.5275928243,TT,0.4243399038135979,10**-6
115,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C#3",32,1738035.5275928243,TT,0.4243399038135979,10**-6
116,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",4,11137.577649108762,P4,0.19511567756893125,10**-6
117,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",5,11137.577649108762,P4,0.19511567756893125,10**-6
118,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",6,11137.577649108762,P4,0.19511567756893125,10**-6
119,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",7,26593.317947777265,P4,0.4335998558031727,10**-6
120,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",8,87220.58325838433,P4,1.0,10**-6
121,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",9,87220.58325838433,P4,1.0,10**-6
122,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",10,87220.58325838433,P4,0.3090051259837409,10**-6
123,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",11,139052.26295311193,P4,0.4926344267254165,10**-6
124,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",12,0.0,P4,0.0,10**-6
125,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",13,0.0,P4,0.0,10**-6
126,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",14,0.0,P4,0.0,10**-6
127,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",15,0.0,P4,0.0,10**-6
128,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",16,0.0,P4,0.0,10**-6
129,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",17,0.0,P4,0.0,10**-6
130,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",18,0.0,P4,0.0,10**-6
131,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",19,0.0,P4,0.0,10**-6
132,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",20,0.0,P4,0.0,10**-6
133,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",21,0.0,P4,0.0,10**-6
134,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",22,0.0,P4,0.0,10**-6
135,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",23,0.0,P4,0.0,10**-6
136,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",24,0.0,P4,0.0,10**-6
137,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",25,0.0,P4,0.0,10**-6
138,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",26,0.0,P4,0.0,10**-6
139,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",27,0.0,P4,0.0,10**-6
140,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",28,0.0,P4,0.0,10**-6
141,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",29,0.0,P4,0.0,10**-6
142,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",30,0.0,P4,0.0,10**-6
143,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",31,0.0,P4,0.0,10**-6
144,Smallest_delta_t_and_choose_top_3_t_sub,"G2,C3",32,0.0,P4,0.0,10**-6
145,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",4,4864.470015580912,m6,0.08521910176579284,10**-6
146,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",5,15201.219327231885,m6,0.26630532260703244,10**-6
147,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",6,42030.21278530139,m6,0.7363139189091686,10**-6
148,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",7,42030.21278530139,m6,0.6852959919808194,10**-6
149,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",8,78673.0505887756,m6,0.9020009686900704,10**-6
150,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",9,78673.0505887756,m6,0.9020009686900704,10**-6
151,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",10,78673.0505887756,m6,0.27872292296753154,10**-6
152,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",11,148669.29316745742,m6,0.5267056461779372,10**-6
153,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",12,148669.29316745742,m6,0.4767604586043255,10**-6
154,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",13,148669.29316745742,m6,0.23670328122323483,10**-6
155,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",14,148669.29316745742,m6,0.23670328122323483,10**-6
156,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",15,148669.29316745742,m6,0.20665425339225887,10**-6
157,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",16,633380.3833084542,m6,0.8804155009903709,10**-6
158,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",17,633380.3833084542,m6,0.7653878594977157,10**-6
159,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",18,633380.3833084542,m6,0.6592624636551341,10**-6
160,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",19,943821.6897034494,m6,0.41252416127874997,10**-6
161,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",20,943821.6897034494,m6,0.41252416127874997,10**-6
162,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",21,943821.6897034494,m6,0.41252416127874997,10**-6
163,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",22,943821.6897034494,m6,0.41252416127874997,10**-6
164,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",23,943821.6897034494,m6,0.41252416127874997,10**-6
165,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",24,943821.6897034494,m6,0.41252416127874997,10**-6
166,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",25,943821.6897034494,m6,0.41252416127874997,10**-6
167,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",26,943821.6897034494,m6,0.41252416127874997,10**-6
168,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",27,2602692.8075703396,m6,0.6354452472846567,10**-6
169,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",28,2602692.8075703396,m6,0.6354452472846567,10**-6
170,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",29,2602692.8075703396,m6,0.6354452472846567,10**-6
171,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",30,2602692.8075703396,m6,0.6354452472846567,10**-6
172,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",31,2602692.8075703396,m6,0.6354452472846567,10**-6
173,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D#3",32,2602692.8075703396,m6,0.6354452472846567,10**-6
174,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",4,6545.875979013895,P5,0.11467511762126212,10**-6
175,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",5,6545.875979013895,P5,0.11467511762126212,10**-6
176,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",6,27123.15842591775,P5,0.47516197873654253,10**-6
177,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",7,45727.15338240899,P5,0.7455740254690301,10**-6
178,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",8,45727.15338240899,P5,0.5242702086380894,10**-6
179,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",9,0.0,P5,0.0,10**-6
180,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",10,0.0,P5,0.0,10**-6
181,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",11,0.0,P5,0.0,10**-6
182,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",12,0.0,P5,0.0,10**-6
183,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",13,0.0,P5,0.0,10**-6
184,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",14,0.0,P5,0.0,10**-6
185,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",15,0.0,P5,0.0,10**-6
186,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",16,0.0,P5,0.0,10**-6
187,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",17,0.0,P5,0.0,10**-6
188,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",18,0.0,P5,0.0,10**-6
189,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",19,0.0,P5,0.0,10**-6
190,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",20,0.0,P5,0.0,10**-6
191,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",21,0.0,P5,0.0,10**-6
192,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",22,0.0,P5,0.0,10**-6
193,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",23,0.0,P5,0.0,10**-6
194,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",24,0.0,P5,0.0,10**-6
195,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",25,0.0,P5,0.0,10**-6
196,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",26,0.0,P5,0.0,10**-6
197,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",27,0.0,P5,0.0,10**-6
198,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",28,0.0,P5,0.0,10**-6
199,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",29,0.0,P5,0.0,10**-6
200,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",30,0.0,P5,0.0,10**-6
201,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",31,0.0,P5,0.0,10**-6
202,Smallest_delta_t_and_choose_top_3_t_sub,"G2,D3",32,0.0,P5,0.0,10**-6
203,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",4,9118.427219817419,M6,0.1597428239254548,10**-6
204,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",5,19375.421647146708,M6,0.3394318443354945,10**-6
205,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",6,19375.421647146708,M6,0.3394318443354945,10**-6
206,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",7,28072.71402850155,M6,0.45772117562259157,10**-6
207,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",8,28072.71402850155,M6,0.32185882024359175,10**-6
208,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",9,28072.71402850155,M6,0.32185882024359175,10**-6
209,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",10,145403.66532080216,M6,0.5151361782097817,10**-6
210,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",11,145403.66532080216,M6,0.5151361782097817,10**-6
211,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",12,311832.26394796616,M6,1.0,10**-6
212,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",13,311832.26394796616,M6,0.4964826192091579,10**-6
213,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",14,311832.26394796616,M6,0.4964826192091579,10**-6
214,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",15,719410.758438454,M6,1.0,10**-6
215,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",16,719410.758438454,M6,1.0,10**-6
216,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",17,719410.758438454,M6,0.8693484594907044,10**-6
217,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",18,719410.758438454,M6,0.7488083330126925,10**-6
218,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",19,719410.758438454,M6,0.3144389697517756,10**-6
219,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",20,719410.758438454,M6,0.3144389697517756,10**-6
220,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",21,719410.758438454,M6,0.3144389697517756,10**-6
221,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",22,719410.758438454,M6,0.3144389697517756,10**-6
222,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",23,719410.758438454,M6,0.3144389697517756,10**-6
223,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",24,719410.758438454,M6,0.3144389697517756,10**-6
224,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",25,719410.758438454,M6,0.3144389697517756,10**-6
225,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",26,719410.758438454,M6,0.3144389697517756,10**-6
226,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",27,1153957.3493577023,M6,0.28173771068398923,10**-6
227,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",28,1153957.3493577023,M6,0.28173771068398923,10**-6
228,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",29,1153957.3493577023,M6,0.28173771068398923,10**-6
229,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",30,1153957.3493577023,M6,0.28173771068398923,10**-6
230,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",31,1153957.3493577023,M6,0.28173771068398923,10**-6
231,Smallest_delta_t_and_choose_top_3_t_sub,"G2,E3",32,1368528.780611135,M6,0.3341251441131168,10**-6
232,Smallest_delta_t_and_choose_top_3_t_sub,"G2,F#3",4,10411.037204590964,M7,0.18238764679065278,10**-6
233,Smallest_delta_t_and_choose_top_3_t_sub,"G2,F#3",5,19976.83605060758,M7,0.3499678318300798,10**-6
234,Smallest_delta_t_and_choose_top_3_t_sub,"G2,F#3",6,53730.16596135176,M7,0.9412816743216315,10**-6
235,Smallest_delta_t_and_choose_top_3_t_sub,"G2,F#3",7,53730.16596135176,M7,0.876061883623285,10**-6
236,Smallest_delta_t_and_choose_top_3_t_sub,"G2,F#3",8,53730.16596135176,M7,0.6160262171393677,10**-6
237,Smallest_delta_t_and_choose_top_3_t_sub,"G2,F#3",9,53730.16596135176,M7,0.6160262171393677,10**-6
238,Smallest_delta_t_and_choose_top_3_t_sub,"G2,F#3",10,53730.16596135176,M7,0.19035525883643767,10**-6
